Designator,Mid X,Mid Y,Rotation,Layer
C201,127.531869,-114.935,90.0,top
C202,129.436869,-114.935,90.0,top
C203,130.706869,-109.855,180.0,top
C204,130.071869,-127.0,0.0,top
C205,130.071869,-132.08,0.0,top
C206,130.071869,-135.89,0.0,top
C207,142.771869,-114.935,90.0,top
C208,144.676869,-114.935,90.0,top
C209,145.946869,-109.855,180.0,top
C210,145.311869,-127.0,0.0,top
C211,145.311869,-132.08,0.0,top
C212,145.311869,-135.84423,0.0,top
C213,98.219901,-110.49,90.0,top
C214,95.679901,-112.125,270.0,top
C301,35.56,-113.03,90.0,top
C302,57.785,-116.205,90.0,top
C303,60.96,-117.475,90.0,top
C304,103.507143,-118.648303,180.0,top
C305,102.069899,-120.65,180.0,top
C401,39.939975,-144.145,0.0,top
C402,43.815,-136.525,180.0,top
C403,37.399975,-138.43,0.0,top
C404,53.274975,-132.715,180.0,top
H301,94.615,-121.285,90.0,top
IC601,151.13,-146.952,180.0,top
IC602,104.14,-148.222,270.0,top
IC603,124.46,-148.222,270.0,top
IC604,151.13,-153.302,180.0,top
L201,130.071869,-120.65,0.0,top
L202,145.946869,-120.65,180.0,top
R201,136.421869,-113.665,90.0,top
R202,133.881869,-109.855,0.0,top
R203,126.261869,-111.125,270.0,top
R204,133.881869,-111.76,180.0,top
R205,128.166869,-111.125,90.0,top
R206,130.706869,-111.76,0.0,top
R207,151.661869,-113.665,90.0,top
R208,149.121869,-109.855,0.0,top
R209,141.501869,-111.125,270.0,top
R210,149.121869,-111.76,180.0,top
R211,143.406869,-111.125,270.0,top
R212,145.946869,-111.76,0.0,top
R301,53.975,-116.84,180.0,top
R302,56.515,-128.388366,90.0,top
R303,54.61,-128.388366,90.0,top
R304,52.07,-121.403366,270.0,top
R305,112.811558,-122.555,180.0,top
R306,112.865477,-124.544434,180.0,top
R307,109.119924,-117.475,180.0,top
R308,103.52329,-116.84,0.0,top
R401,36.195,-126.365,180.0,top
R402,34.29,-131.563366,90.0,top
R403,43.815,-149.741634,90.0,top
R404,57.785,-148.073366,270.0,top
R405,60.325,-148.073366,270.0,top
R406,62.865,-148.073366,270.0,top
R407,65.405,-148.073366,270.0,top
R408,67.945,-148.073366,270.0,top
R409,70.485,-148.073366,270.0,top
R410,73.025,-148.073366,270.0,top
R411,57.785,-144.263366,270.0,top
R412,60.325,-144.263366,270.0,top
R413,62.865,-144.263366,270.0,top
R414,65.405,-144.263366,270.0,top
R415,67.945,-144.263366,270.0,top
R416,70.485,-144.263366,270.0,top
R417,73.025,-144.263366,270.0,top
R601,158.115,-149.492,90.0,top
R602,144.78,-148.340366,90.0,top
R603,158.115,-155.842,90.0,top
R604,143.51,-155.088634,90.0,top
SW301,42.545,-120.284,0.0,top
SW302,42.545,-113.03,0.0,top
U201,131.976869,-114.935,270.0,top
U202,147.216869,-114.935,270.0,top
U203,89.535,-111.125,180.0,top
U301,73.025,-125.993513,0.0,top
U302,112.929924,-129.54,270.0,top
U303,106.579924,-123.825,0.0,top
U304,116.104924,-129.54,270.0,top
U305,106.454914,-110.736668,180.0,top
U401,40.005,-149.225,90.0,top
U402,39.37,-131.445,270.0,top
U403,53.34,-135.89,270.0,top
U501,101.6,-164.732,0.0,top
U502,116.84,-164.732,0.0,top
U503,132.08,-164.732,0.0,top
U504,147.32,-164.732,0.0,top
U505,63.261621,-164.820533,0.0,top
X401,41.275,-139.7,180.0,top
